month,day,hour,T,GHI,DNI,DHI,rh,wspd,pres
1,1,0,18.7,0.0,0.0,0.0,40.0,0.5,945.2
1,1,1,18.1,0.0,0.0,0.0,43.8,0.3,943.9
1,1,2,17.3,0.0,0.0,0.0,41.1,0.3,941.5
1,1,3,15.8,0.0,0.0,0.0,54.1,0.2,939.4
1,1,4,15.3,0.0,0.0,0.0,59.8,0.3,940.7
1,1,5,14.8,0.0,0.0,0.0,65.1,0.3,940.6
1,1,6,14.2,17.2,0.0,17.2,68.7,0.3,939.0
1,1,7,16.3,242.3,743.0,47.4,73.4,0.7,946.6
1,1,8,18.8,465.6,869.8,66.4,75.7,0.9,950.7
1,1,9,22.0,676.8,931.5,81.4,79.8,1.4,955.6
1,1,10,25.0,857.4,966.9,93.1,83.9,1.9,957.3
1,1,11,27.1,993.1,987.8,101.5,85.5,2.4,956.4
1,1,12,28.5,1069.3,995.1,106.1,89.9,2.9,957.0
1,1,13,29.9,1083.9,994.8,107.0,92.8,3.4,958.6
1,1,14,28.9,1036.0,987.4,104.1,90.1,3.6,954.2
1,1,15,28.1,930.6,973.0,97.6,76.2,3.5,953.4
1,1,16,26.9,774.0,947.1,87.7,66.0,3.2,951.8
1,1,17,25.7,578.7,902.5,74.5,53.6,2.8,949.8
1,1,18,24.1,359.5,817.4,57.9,46.0,2.1,949.0
1,1,19,22.3,141.0,622.6,35.8,45.4,1.5,948.5
1,1,20,20.9,0.0,0.0,0.0,42.9,1.4,948.4
1,1,21,19.9,0.0,0.0,0.0,37.2,1.0,948.8
1,1,22,19.4,0.0,0.0,0.0,34.9,0.6,949.2
1,1,23,18.5,0.0,0.0,0.0,34.4,0.2,947.0
1,2,0,18.1,0.0,0.0,0.0,36.9,0.3,947.8
1,2,1,17.8,0.0,0.0,0.0,40.2,0.3,947.6
1,2,2,17.2,0.0,0.0,0.0,42.8,0.4,945.8
1,2,3,16.1,0.0,0.0,0.0,49.0,0.1,944.4
1,2,4,15.4,0.0,0.0,0.0,55.8,0.1,945.3
1,2,5,15.1,0.0,0.0,0.0,61.1,0.2,946.6
1,2,6,14.9,16.7,0.0,16.7,64.5,0.3,946.0
1,2,7,16.8,241.9,748.9,47.2,65.2,0.7,952.3
1,2,8,19.5,465.2,873.0,66.3,73.4,0.9,957.7
1,2,9,22.4,677.9,935.9,81.4,76.3,1.4,960.3
1,2,10,25.0,860.4,972.4,93.2,79.3,1.9,961.5
1,2,11,27.1,997.8,993.8,101.8,80.3,2.3,961.4
1,2,12,28.4,1077.4,1003.5,106.6,82.8,2.8,960.7
1,2,13,29.4,1095.0,1005.6,107.7,84.5,3.2,962.0
1,2,14,28.9,1049.3,1000.3,104.9,84.5,3.4,959.1
1,2,15,28.0,943.8,986.9,98.4,69.8,3.3,956.8
1,2,16,27.1,786.6,962.5,88.5,60.9,3.1,955.8
1,2,17,25.7,589.7,919.8,75.3,53.1,2.7,953.1
1,2,18,23.7,366.3,832.3,58.4,46.5,1.9,950.9
1,2,19,21.3,144.2,636.9,36.1,42.4,1.2,949.8
1,2,20,19.8,0.0,0.0,0.0,39.3,1.0,951.5
1,2,21,18.7,0.0,0.0,0.0,36.9,0.5,952.5
1,2,22,17.8,0.0,0.0,0.0,33.8,0.1,952.1
1,2,23,17.0,0.0,0.0,0.0,34.8,0.4,951.0
1,3,0,16.3,0.0,0.0,0.0,33.7,0.5,950.8
1,3,1,15.7,0.0,0.0,0.0,35.1,0.5,949.9
1,3,2,15.3,0.0,0.0,0.0,36.4,0.5,949.6
1,3,3,14.8,0.0,0.0,0.0,43.0,0.3,948.6
1,3,4,14.4,0.0,0.0,0.0,48.9,0.4,948.2
1,3,5,15.3,0.0,0.0,0.0,56.4,0.2,952.1
