month,month_name,zone,heating_setpoint_c,cooling_setpoint_c
1,ENE,A,21.7,26.7
1,ENE,B,21.3,26.3
1,ENE,C,21.1,26.1
1,ENE,D,21.6,26.6
1,ENE,E,20.9,25.9
1,ENE,F,20.9,25.9
1,ENE,G,20.6,25.6
1,ENE,H,20.4,25.4
1,ENE,I,19.5,24.5
1,ENE,J,20.5,25.5
2,FEB,A,21.6,26.6
2,FEB,B,21.2,26.2
2,FEB,C,21.0,26.0
2,FEB,D,21.5,26.5
2,FEB,E,20.6,25.6
2,FEB,F,20.8,25.8
2,FEB,G,20.3,25.3
2,FEB,H,20.2,25.2
2,FEB,I,19.1,24.1
2,FEB,J,20.3,25.3
3,MAR,A,21.4,26.4
3,MAR,B,20.9,25.9
3,MAR,C,20.7,25.7
3,MAR,D,20.9,25.9
3,MAR,E,20.2,25.2
3,MAR,F,20.3,25.3
3,MAR,G,20.0,25.0
3,MAR,H,19.8,24.8
3,MAR,I,18.7,23.7
3,MAR,J,19.8,24.8
4,ABR,A,21.1,26.1
4,ABR,B,20.3,25.3
4,ABR,C,20.3,25.3
4,ABR,D,20.0,25.0
4,ABR,E,19.6,24.6
4,ABR,F,19.5,24.5
4,ABR,G,19.3,24.3
4,ABR,H,19.3,24.3
4,ABR,I,18.0,23.0
4,ABR,J,19.5,24.5
5,MAY,A,20.8,25.8
5,MAY,B,19.8,24.8
5,MAY,C,19.9,24.9
5,MAY,D,19.2,24.2
5,MAY,E,19.2,24.2
5,MAY,F,19.0,24.0
5,MAY,G,19.0,24.0
5,MAY,H,18.3,23.3
5,MAY,I,17.4,22.4
5,MAY,J,19.1,24.1
6,JUN,A,20.5,25.5
6,JUN,B,19.5,24.5
6,JUN,C,19.6,24.6
6,JUN,D,18.5,23.5
6,JUN,E,18.7,23.7
6,JUN,F,18.4,23.4
6,JUN,G,18.4,23.4
6,JUN,H,17.6,22.6
6,JUN,I,17.0,22.0
6,JUN,J,18.4,23.4
7,JUL,A,20.3,25.3
7,JUL,B,19.3,24.3
7,JUL,C,19.4,24.4
7,JUL,D,18.6,23.6
7,JUL,E,18.0,23.0
7,JUL,F,18.3,23.3
7,JUL,G,18.2,23.2
7,JUL,H,17.5,22.5
7,JUL,I,17.0,22.0
7,JUL,J,18.8,23.8
8,AGO,A,20.3,25.3
8,AGO,B,19.3,24.3
8,AGO,C,19.5,24.5
8,AGO,D,18.8,23.8
8,AGO,E,18.6,23.8
8,AGO,F,18.5,23.7
8,AGO,G,18.3,23.3
8,AGO,H,17.5,22.5
8,AGO,I,17.1,22.1
8,AGO,J,18.8,23.8
9,SEP,A,20.5,25.5
9,SEP,B,19.9,24.9
9,SEP,C,19.7,24.7
9,SEP,D,19.4,24.4
9,SEP,E,19.0,24.0
9,SEP,F,18.9,23.9
9,SEP,G,18.7,23.7
9,SEP,H,18.1,23.1
9,SEP,I,17.6,22.6
9,SEP,J,19.4,24.4
10,OCT,A,20.7,25.7
10,OCT,B,20.1,25.1
10,OCT,C,20.1,25.1
10,OCT,D,20.1,25.1
10,OCT,E,19.5,24.5
10,OCT,F,19.4,24.4
10,OCT,G,19.2,24.2
10,OCT,H,18.5,23.5
10,OCT,I,18.3,23.3
10,OCT,J,19.4,24.4
11,NOV,A,21.1,26.1
11,NOV,B,20.5,25.5
11,NOV,C,20.5,25.5
11,NOV,D,20.6,25.6
11,NOV,E,19.9,25.1
11,NOV,F,19.9,24.9
11,NOV,G,19.9,24.9
11,NOV,H,19.2,24.2
11,NOV,I,18.5,23.5
11,NOV,J,20.0,25.0
12,DIC,A,21.5,26.5
12,DIC,B,20.9,25.9
12,DIC,C,20.9,25.9
12,DIC,D,21.3,26.3
12,DIC,E,20.6,25.6
12,DIC,F,20.5,25.5
12,DIC,G,20.5,25.5
12,DIC,H,20.0,25.0
12,DIC,I,19.0,24.0
12,DIC,J,20.0,25.0
