Code_BuildingVariant,Code_Country,Code_Building,Code_BuildingSizeClass,Code_Period,Code_Material,Code_Zone,Code_RoofType,Year1_Building,Year2_Building,n_Apartment,n_Storey,A_C_Ref,h_room,A_Wall_1,A_Wall_2,A_Wall_3,A_Roof_1,A_Roof_2,A_Floor_1,A_Floor_2,A_Door_1,A_Window_North,A_Window_East,A_Window_South,A_Window_West,A_Window_Horizontal,A_Window_1,A_Window_2,F_sh_vert,F_sh_hor,F_f,F_w,U_Actual_Wall_1,U_Actual_Wall_2,U_Actual_Wall_3,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,U_Actual_Roof_1,U_Actual_Roof_2,b_Transmission_Roof_1,b_Transmission_Roof_2,U_Actual_Floor_1,U_Actual_Floor_2,b_Transmission_Floor_1,b_Transmission_Floor_2,U_Actual_Door_1,U_Window_1,U_Window_2,g_gl_n_Window_1,n_air_infiltration,n_air_use,q_h_nd
CL.SFH.preRT.adobe.A,CL,CL.SFH.preRT.adobe.A,SFH,preRT,adobe,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.9,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.B,CL,CL.SFH.preRT.adobe.B,SFH,preRT,adobe,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.81,0,1.0,0,1.29,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.C,CL,CL.SFH.preRT.adobe.C,SFH,preRT,adobe,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.48,0,1.0,0,3.36,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.D,CL,CL.SFH.preRT.adobe.D,SFH,preRT,adobe,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.378,0,1.0,0,0.66,0,0.45,0,2.5,3.145,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.E,CL,CL.SFH.preRT.adobe.E,SFH,preRT,adobe,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.378,0,1.0,0,3.95,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.F,CL,CL.SFH.preRT.adobe.F,SFH,preRT,adobe,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.38,0,1.0,0,0.45,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.G,CL,CL.SFH.preRT.adobe.G,SFH,preRT,adobe,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.29,0,1.0,0,0.55,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.H,CL,CL.SFH.preRT.adobe.H,SFH,preRT,adobe,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.adobe.I,CL,CL.SFH.preRT.adobe.I,SFH,preRT,adobe,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.2489,0,1.0,0,0.66,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.A,CL,CL.SFH.preRT.hor.A,SFH,preRT,hor,A,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,3.2989999999999995,0,0,1.0,0,0,0.9,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.B,CL,CL.SFH.preRT.hor.B,SFH,preRT,hor,B,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,2.16,0,0,1.0,0,0,0.81,0,1.0,0,1.29,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.C,CL,CL.SFH.preRT.hor.C,SFH,preRT,hor,C,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,1.23,0,0,1.0,0,0,0.47,0,1.0,0,3.36,0,0.45,0,2.5,3.2,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.D,CL,CL.SFH.preRT.hor.D,SFH,preRT,hor,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.98,0,0,1.0,0,0,0.321,0,1.0,0,0.63,0,0.45,0,2.5,3.01,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.E,CL,CL.SFH.preRT.hor.E,SFH,preRT,hor,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.548,0,0,1.0,0,0,0.37,0,1.0,0,0.53,0,0.45,0,2.5,3.01,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.F,CL,CL.SFH.preRT.hor.F,SFH,preRT,hor,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.54,0,0,1.0,0,0,0.28,0,1.0,0,0.5,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.G,CL,CL.SFH.preRT.hor.G,SFH,preRT,hor,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.384,0,0,1.0,0,0,0.25,0,1.0,0,0.37,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.H,CL,CL.SFH.preRT.hor.H,SFH,preRT,hor,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.59,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.hor.I,CL,CL.SFH.preRT.hor.I,SFH,preRT,hor,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.569437287661901,0,0,1.0,0,0,0.25,0,1.0,0,0.66,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
